Crop_Type,Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Yield(tons),Soil_Type,Season,Water_Usage(cubic meters)
wheat,397.86,sprinkler,5.35,1.33,47.34,sandy,rabi,42980.42
cotton,346.66,rain-fed,6.82,3.53,33.91,peaty,zaid,65633.2
onion,343.04,manual,7.58,6.86,28.77,peaty,kharif,64361.93
rice,446.46,manual,14.8,2.96,48.17,loamy,kharif,80479.29
sugarcane,107.61,sprinkler,11.89,2.32,10.14,loamy,kharif,95531.22
peas,261.76,sprinkler,6.35,3.83,23.96,peaty,kharif,64141.42
potato,135.89,flood,6.74,7.69,10.06,peaty,rabi,51184.86
sugarcane,301.1,manual,12.17,3.02,16.38,silty,zaid,81584.64
maize,268.38,drip,3.33,2.91,32.33,silty,kharif,57280.5
sugarcane,59.83,sprinkler,12.66,2.72,4.18,silty,zaid,95802.43
cotton,233.29,flood,2.05,1.32,31.51,clay,kharif,51221.69
wheat,78.07,flood,3.41,2.89,4.43,sandy,zaid,42879.31
barley,362.73,drip,5.95,2.79,18.84,sandy,zaid,47347.98
onion,59.53,sprinkler,8.56,6.21,5.63,peaty,zaid,79843.17
wheat,340.93,rain-fed,6.74,1.79,22.95,silty,kharif,44893.59
barley,372.14,sprinkler,3.66,2.53,41.09,clay,zaid,36965.69
peas,165.2,flood,4.23,1.34,10.63,clay,kharif,69155.14
rice,76.29,drip,12.28,1.67,5.36,sandy,zaid,88946.02
wheat,110.35,flood,6.38,2.26,16.36,loamy,zaid,50096.38
maize,173.92,sprinkler,6.55,2.7,20.69,peaty,kharif,61669.58
maize,105.09,flood,6.28,3.52,10.5,clay,rabi,48466.4
onion,375.63,sprinkler,6.96,4.45,31.63,sandy,rabi,53057.9
wheat,279.73,flood,3.58,3.78,17.02,sandy,kharif,60755.39
cotton,286.94,drip,3.87,2.43,23.46,sandy,rabi,50945.33
tomato,238.7,sprinkler,7.83,3.2,31.56,clay,kharif,65463.18
wheat,189.36,rain-fed,6.49,2.64,11.41,loamy,zaid,59603.09
potato,271.51,manual,9.63,3.16,36.58,loamy,kharif,61078.28
peas,162.81,sprinkler,6.18,2.85,11.95,clay,rabi,47536.18
potato,179.46,manual,5.84,5.13,21.09,sandy,zaid,68031.64
sugarcane,34.59,drip,13.23,2.31,3.6,peaty,zaid,99891.59
potato,146.21,sprinkler,8.34,7.48,19.05,sandy,zaid,57347.01
barley,256.5,sprinkler,4.78,2.43,38.43,loamy,rabi,40515.06
maize,401.68,drip,5.38,2.9,44.66,peaty,kharif,55980.24
maize,198.72,sprinkler,2.43,2.01,18.06,sandy,kharif,56167.65
potato,197.19,sprinkler,6.13,6.8,27.0,silty,rabi,69715.07
tomato,323.21,drip,7.45,5.37,41.38,peaty,rabi,61809.39
peas,113.97,sprinkler,2.12,3.26,15.54,sandy,rabi,55635.07
maize,270.14,flood,5.24,1.79,30.07,silty,rabi,38960.06
onion,154.48,flood,9.83,3.29,7.85,silty,zaid,47528.01
rice,350.24,flood,8.12,2.9,52.14,silty,rabi,110032.92
potato,102.62,rain-fed,8.78,4.49,12.56,loamy,rabi,52446.54
sugarcane,45.49,drip,11.36,2.2,4.94,sandy,kharif,107959.45
cotton,478.94,sprinkler,3.82,2.9,67.88,silty,zaid,56550.5
cotton,183.03,rain-fed,4.51,3.25,10.96,silty,kharif,36468.34
peas,141.05,manual,5.76,1.37,8.6,loamy,rabi,40535.99
cotton,183.89,rain-fed,6.82,3.14,25.3,silty,rabi,66984.25
rice,340.06,sprinkler,10.25,2.53,45.08,peaty,rabi,96349.24
cotton,392.85,flood,5.99,1.43,21.4,peaty,rabi,33889.12
potato,110.72,flood,6.0,6.16,11.97,sandy,rabi,75992.67
potato,212.76,sprinkler,9.49,7.9,15.96,loamy,kharif,76963.41
wheat,393.74,rain-fed,4.39,2.01,43.13,clay,kharif,36357.7
onion,189.14,rain-fed,8.49,7.41,25.87,sandy,rabi,72603.44
barley,325.12,manual,5.91,1.02,33.64,clay,rabi,63088.02
rice,259.64,rain-fed,10.45,4.09,24.13,loamy,kharif,104755.02
peas,252.98,rain-fed,6.48,1.68,34.95,silty,rabi,52677.31
maize,490.43,flood,5.24,1.73,59.29,silty,zaid,46083.97
wheat,309.68,manual,3.91,2.22,46.32,peaty,rabi,60199.91
peas,358.89,sprinkler,4.92,1.76,19.34,sandy,zaid,37680.66
cotton,21.87,drip,2.4,2.21,2.0,loamy,rabi,53321.43
barley,139.74,sprinkler,3.87,2.27,7.8,peaty,kharif,62943.11
sugarcane,28.25,flood,8.19,1.58,1.82,peaty,rabi,85119.92
peas,70.59,manual,3.79,2.54,7.11,sandy,rabi,51629.45
wheat,229.19,flood,5.98,2.05,30.13,loamy,rabi,52929.12
rice,149.88,sprinkler,11.89,1.12,12.82,clay,rabi,89841.38
barley,202.95,drip,6.46,3.19,27.52,loamy,rabi,32504.78
wheat,197.55,drip,2.65,3.53,24.8,silty,zaid,55301.91
rice,348.09,sprinkler,12.24,3.57,17.51,sandy,kharif,101242.74
tomato,229.93,rain-fed,8.67,7.02,25.83,loamy,rabi,40228.96
barley,242.3,manual,2.72,2.08,16.3,loamy,rabi,43611.87
barley,327.14,manual,4.15,2.01,27.48,peaty,rabi,30705.92
wheat,437.32,drip,3.61,1.73,31.57,loamy,zaid,46993.48
wheat,484.75,manual,5.99,3.28,37.27,loamy,kharif,61668.12
potato,109.73,manual,8.04,5.31,11.75,silty,zaid,59475.85
cotton,380.07,rain-fed,5.8,3.8,45.04,silty,zaid,36537.36
sugarcane,455.46,drip,14.66,2.11,23.03,sandy,rabi,94324.75
maize,441.95,manual,4.81,2.65,59.69,clay,rabi,48064.01
onion,478.4,flood,6.9,6.0,43.6,peaty,kharif,79350.57
tomato,432.99,flood,9.58,3.16,44.08,silty,zaid,43972.7
onion,231.0,manual,9.96,4.09,14.19,sandy,kharif,64777.22
tomato,36.48,drip,9.7,5.43,3.72,clay,zaid,72912.98
barley,201.07,flood,6.3,2.63,29.53,loamy,kharif,52596.13
peas,43.02,manual,2.73,2.97,2.7,clay,rabi,53754.57
maize,113.58,manual,3.54,3.54,13.07,sandy,rabi,49697.68
potato,252.14,flood,8.32,6.7,14.12,peaty,kharif,70979.99
peas,101.14,flood,3.5,3.56,14.76,peaty,zaid,38513.63
rice,193.17,rain-fed,12.1,1.86,25.24,loamy,zaid,98288.32
maize,292.09,manual,3.4,1.01,33.2,peaty,rabi,43154.14
peas,49.62,manual,4.84,2.7,5.29,loamy,kharif,53237.58
barley,309.99,flood,6.14,2.94,42.42,clay,rabi,37795.94
tomato,148.76,sprinkler,9.93,4.26,12.42,peaty,rabi,49776.87
sugarcane,284.83,flood,10.47,1.36,33.32,peaty,zaid,117940.77
cotton,146.28,sprinkler,6.92,3.48,15.46,silty,zaid,54100.87
onion,105.27,sprinkler,6.34,4.44,13.03,sandy,zaid,72209.59
peas,28.8,flood,3.82,2.4,2.83,silty,rabi,35169.1
onion,297.73,flood,6.88,3.95,37.62,sandy,rabi,58706.56
sugarcane,440.96,flood,11.63,4.44,30.11,peaty,zaid,109372.63
onion,252.77,drip,8.04,7.68,20.44,silty,zaid,56186.33
barley,419.27,rain-fed,6.42,3.34,48.94,clay,rabi,30387.47
tomato,219.13,sprinkler,7.11,3.86,21.95,clay,kharif,65220.85
cotton,364.44,drip,4.92,1.45,29.31,peaty,zaid,38585.0
maize,451.16,flood,4.29,3.23,27.88,silty,kharif,49009.08
potato,58.84,manual,7.31,3.97,5.81,peaty,kharif,69599.73
rice,343.62,sprinkler,13.59,2.89,37.93,clay,zaid,93308.23
maize,420.26,drip,3.86,1.46,41.4,sandy,zaid,60278.2
sugarcane,78.1,manual,12.98,2.15,11.54,silty,zaid,91438.02
onion,288.5,flood,9.92,6.94,29.33,peaty,zaid,79320.73
maize,160.6,rain-fed,5.01,3.86,23.73,silty,zaid,67239.2
barley,387.03,rain-fed,3.11,3.44,26.6,sandy,zaid,37356.64
sugarcane,112.44,flood,8.75,4.33,6.33,silty,zaid,77214.55
wheat,157.49,manual,6.23,1.02,19.64,silty,rabi,67581.52
wheat,205.43,manual,5.96,3.18,29.19,clay,rabi,57963.66
barley,342.67,rain-fed,6.68,2.51,20.59,clay,rabi,36253.88
barley,80.42,flood,5.8,2.19,4.78,clay,rabi,62345.68
potato,471.59,flood,5.12,7.58,38.87,clay,kharif,59678.0
peas,32.76,manual,5.25,1.66,3.75,loamy,zaid,31583.49
rice,244.13,manual,10.24,2.42,15.58,peaty,rabi,101319.28
tomato,107.76,drip,8.68,6.42,14.09,sandy,zaid,56183.4
barley,339.34,sprinkler,6.82,3.75,35.98,clay,kharif,55626.13
peas,246.08,drip,5.15,1.52,34.1,clay,zaid,41906.66
onion,316.09,rain-fed,9.99,3.32,19.58,clay,rabi,45453.16
maize,327.18,manual,5.73,3.55,28.77,peaty,zaid,39038.94
potato,418.0,drip,6.91,4.77,23.29,loamy,zaid,70864.06
