Crop,Season,Soil_Type,Area(ha),Water_Usage(cubic_meters),Irrigation_Type
cotton,kharif,clayey,3.16,3748.73,drip
cotton,kharif,clayey,2.57,2957.76,drip
sugarcane,summer,loamy,3.86,6341.46,surface
maize,rabi,clayey,1.3,890.42,sprinkler
groundnut,kharif,loamy,1.73,1065.3,surface
maize,summer,black,1.69,1346.53,surface
citrus,rabi,red,2.52,1193.43,drip
cotton,summer,black,1.2,1232.98,drip
tomato,summer,clayey,1.43,926.52,sprinkler
mango,kharif,red,3.98,1438.03,drip
onion,kharif,sandy,2.83,1489.21,sprinkler
onion,rabi,red,1.95,999.87,drip
citrus,rabi,sandy,3.33,1719.88,drip
wheat,rabi,black,2.01,1916.01,surface
rice,rabi,clayey,1.23,1503.62,surface
wheat,summer,black,3.17,3074.96,sprinkler
tomato,kharif,clayey,3.76,2347.09,sprinkler
onion,rabi,sandy,4.87,2802.62,sprinkler
mango,rabi,black,3.98,1881.1,drip
tomato,kharif,red,1.25,690.17,drip
citrus,summer,loamy,1.08,453.56,drip
wheat,rabi,loamy,4.11,3637.91,surface
cotton,kharif,loamy,1.4,1216.36,surface
maize,kharif,loamy,4.36,3399.47,sprinkler
sugarcane,summer,red,4.31,6139.83,drip
onion,rabi,sandy,2.62,1407.88,drip
sugarcane,summer,black,4.24,6884.63,surface
rice,kharif,clayey,3.93,4024.68,surface
groundnut,summer,black,3.19,2263.47,surface
groundnut,summer,red,0.62,500.94,surface
cotton,rabi,clayey,2.03,2292.47,drip
citrus,kharif,loamy,1.12,441.09,drip
sugarcane,rabi,sandy,2.03,3232.63,surface
tomato,rabi,clayey,2.24,1516.72,drip
wheat,rabi,loamy,1.24,1197.4,sprinkler
rice,kharif,clayey,3.59,3621.14,surface
tomato,kharif,clayey,1.08,649.81,drip
onion,rabi,black,2.4,986.17,drip
tomato,summer,sandy,3.22,2165.71,sprinkler
onion,rabi,clayey,4.3,2555.72,sprinkler
rice,rabi,red,3.92,5400.78,surface
rice,kharif,clayey,4.77,6199.24,surface
maize,summer,red,3.77,2961.7,sprinkler
wheat,rabi,sandy,1.05,941.08,sprinkler
groundnut,summer,clayey,1.64,1073.36,drip
maize,summer,clayey,1.3,980.46,sprinkler
wheat,rabi,clayey,3.36,3139.85,sprinkler
groundnut,summer,black,1.62,945.32,drip
rice,summer,loamy,3.35,3909.21,surface
maize,rabi,red,1.6,1446.69,surface
mango,kharif,sandy,1.97,642.47,drip
citrus,rabi,red,4.91,1837.21,drip
maize,rabi,sandy,1.33,1169.02,surface
rice,kharif,loamy,3.07,4413.31,surface
citrus,summer,sandy,2.18,970.37,drip
tomato,summer,loamy,1.75,1122.0,sprinkler
citrus,kharif,clayey,1.73,749.6,drip
wheat,summer,loamy,1.74,1542.47,sprinkler
groundnut,kharif,loamy,0.58,377.52,drip
rice,summer,red,4.22,5242.08,surface
citrus,summer,black,2.64,1215.4,drip
groundnut,rabi,clayey,4.2,2530.49,surface
onion,summer,loamy,3.53,1592.52,drip
wheat,summer,black,3.03,2558.25,surface
sugarcane,rabi,clayey,3.88,5707.09,surface
onion,kharif,red,3.13,1642.79,drip
citrus,rabi,sandy,3.88,1595.07,drip
onion,rabi,red,1.09,568.35,drip
rice,rabi,loamy,1.45,1469.0,surface
maize,kharif,black,2.98,2242.89,sprinkler
sugarcane,summer,clayey,1.94,2750.74,surface
rice,summer,red,2.9,3097.34,surface
tomato,rabi,clayey,4.22,2480.81,sprinkler
cotton,rabi,sandy,2.9,2707.5,surface
onion,summer,sandy,2.23,1183.28,drip
tomato,kharif,sandy,3.28,1683.48,sprinkler
citrus,summer,red,3.79,2009.41,drip
groundnut,kharif,red,3.31,2487.87,drip
groundnut,summer,red,4.48,3329.32,drip
mango,kharif,black,2.16,993.48,drip
cotton,summer,loamy,1.95,1788.53,surface
wheat,summer,black,2.57,2482.93,surface
onion,kharif,black,2.75,1161.14,drip
citrus,kharif,loamy,2.58,1375.77,drip
wheat,summer,black,4.4,4744.93,surface
tomato,rabi,clayey,4.48,2728.15,drip
citrus,rabi,black,4.22,1564.61,drip
tomato,rabi,black,3.72,2242.32,drip
onion,kharif,sandy,1.16,524.9,sprinkler
citrus,summer,loamy,2.15,1028.08,drip
cotton,rabi,loamy,1.69,1575.1,drip
rice,summer,black,3.89,5147.83,surface
groundnut,summer,black,1.99,1365.35,surface
maize,summer,sandy,3.93,2701.35,surface
maize,kharif,clayey,3.04,2639.99,sprinkler
maize,summer,clayey,2.64,2061.2,sprinkler
maize,summer,loamy,1.16,850.91,sprinkler
tomato,summer,loamy,0.63,334.4,sprinkler
maize,summer,sandy,1.67,1454.18,sprinkler
mango,rabi,red,4.55,2163.91,drip
cotton,summer,clayey,2.2,2574.95,surface
cotton,kharif,black,4.54,3657.85,surface
rice,kharif,clayey,1.43,1475.82,surface
citrus,summer,loamy,2.1,929.62,drip
wheat,summer,loamy,2.14,1566.1,surface
rice,summer,sandy,1.72,2445.14,surface
mango,kharif,black,3.05,1097.01,drip
maize,summer,loamy,1.53,1330.43,sprinkler
cotton,summer,clayey,2.98,2492.9,drip
sugarcane,kharif,red,1.86,2463.83,drip
sugarcane,rabi,sandy,2.92,4873.03,surface
groundnut,kharif,black,1.02,595.02,drip
sugarcane,summer,red,1.47,2193.74,drip
citrus,summer,black,4.38,1664.73,drip
onion,summer,red,3.9,2333.95,drip
maize,summer,clayey,2.72,1894.45,surface
mango,summer,clayey,4.78,1758.76,drip
mango,rabi,clayey,3.55,1421.74,drip
onion,kharif,black,0.53,306.7,drip
mango,rabi,loamy,1.3,574.17,drip
maize,rabi,clayey,3.37,2737.62,sprinkler
cotton,kharif,loamy,1.46,1461.04,drip
groundnut,kharif,clayey,4.67,2890.18,surface
cotton,kharif,loamy,3.95,4401.58,surface
cotton,rabi,red,4.92,5222.07,drip
tomato,kharif,clayey,2.62,1796.0,sprinkler
maize,kharif,clayey,2.0,1506.52,surface
groundnut,rabi,black,3.03,2343.87,surface
wheat,kharif,black,2.09,2110.76,sprinkler
onion,kharif,loamy,1.44,782.4,sprinkler
maize,kharif,clayey,2.42,1844.94,surface
mango,kharif,red,2.76,1261.39,drip
rice,kharif,loamy,1.96,2332.89,surface
citrus,kharif,black,3.6,1884.96,drip
onion,rabi,red,3.14,1293.25,drip
wheat,rabi,red,2.16,2273.4,sprinkler
rice,kharif,sandy,1.96,2610.95,surface
tomato,kharif,red,1.84,971.52,drip
rice,kharif,clayey,3.08,4084.5,surface
maize,summer,sandy,1.13,1001.6,surface
groundnut,rabi,loamy,1.33,919.2,surface
onion,rabi,loamy,3.55,1919.88,sprinkler
maize,kharif,sandy,3.39,2633.17,sprinkler
onion,summer,sandy,4.61,2316.31,drip
wheat,kharif,red,4.43,3711.21,sprinkler
mango,rabi,red,2.0,661.48,drip
rice,summer,sandy,2.89,3882.21,surface
rice,summer,loamy,3.88,5153.48,surface
tomato,rabi,black,4.5,3233.9,sprinkler
cotton,kharif,loamy,3.42,3200.86,surface
mango,kharif,black,3.09,991.94,drip
tomato,kharif,loamy,1.95,1006.43,drip
sugarcane,summer,black,3.44,4541.48,surface
citrus,summer,red,1.19,593.97,drip
sugarcane,kharif,sandy,0.62,967.91,surface
wheat,summer,clayey,4.8,4021.85,surface
groundnut,summer,loamy,1.41,854.07,drip
maize,kharif,clayey,0.62,570.92,sprinkler
onion,rabi,sandy,2.5,1371.97,drip
sugarcane,kharif,black,2.47,3258.38,surface
tomato,kharif,loamy,2.78,1720.24,drip
mango,kharif,loamy,1.04,414.19,drip
citrus,summer,clayey,2.37,942.93,drip
rice,rabi,clayey,2.79,3943.81,surface
wheat,rabi,black,2.3,2366.0,surface
groundnut,rabi,sandy,2.45,1953.6,surface
maize,summer,sandy,3.43,3084.44,sprinkler
onion,rabi,clayey,0.7,398.64,drip
cotton,kharif,red,1.2,1293.63,drip
wheat,summer,loamy,4.4,4214.95,surface
groundnut,kharif,black,1.28,1052.37,surface
cotton,rabi,sandy,4.04,3280.45,drip
sugarcane,rabi,clayey,4.59,6238.31,surface
groundnut,kharif,clayey,0.63,435.8,drip
cotton,kharif,red,2.2,2286.69,surface
mango,kharif,sandy,0.57,264.22,drip
rice,kharif,sandy,4.86,5749.03,surface
tomato,kharif,red,4.14,1987.92,sprinkler
onion,rabi,loamy,1.95,990.59,sprinkler
citrus,rabi,black,3.87,1986.68,drip
sugarcane,kharif,red,1.08,1906.6,drip
sugarcane,summer,sandy,3.73,5107.79,drip
citrus,kharif,loamy,1.63,800.99,drip
maize,summer,black,3.51,2830.37,surface
citrus,kharif,clayey,2.4,1149.64,drip
citrus,summer,black,3.34,1679.87,drip
cotton,kharif,sandy,4.26,3813.26,drip
tomato,kharif,red,2.66,1824.34,sprinkler
sugarcane,rabi,loamy,2.54,3448.51,surface
onion,summer,clayey,3.45,1735.0,drip
groundnut,kharif,clayey,2.03,1632.43,surface
mango,summer,sandy,3.51,1315.48,drip
mango,kharif,clayey,2.42,784.24,drip
mango,kharif,loamy,4.89,2214.25,drip
rice,kharif,clayey,1.88,2198.39,surface
rice,rabi,red,1.38,1881.22,surface
sugarcane,kharif,clayey,2.87,4787.05,drip
citrus,summer,clayey,2.93,1420.65,drip
mango,rabi,loamy,0.95,329.18,drip
citrus,summer,loamy,2.93,1558.54,drip
tomato,rabi,sandy,4.82,3411.29,drip
maize,summer,black,4.52,3569.72,surface
cotton,kharif,sandy,1.63,1666.35,surface
maize,summer,red,3.17,2096.58,sprinkler
tomato,kharif,black,4.2,2786.71,drip
sugarcane,kharif,black,2.26,2974.21,surface
groundnut,kharif,clayey,1.13,759.82,drip
citrus,kharif,black,1.14,466.93,drip
groundnut,summer,sandy,2.84,2007.28,drip
citrus,kharif,black,1.84,703.76,drip
citrus,kharif,sandy,4.46,2211.11,drip
groundnut,kharif,black,4.27,2696.62,surface
onion,summer,loamy,4.44,2390.0,sprinkler
onion,kharif,red,0.96,575.54,sprinkler
citrus,kharif,black,4.27,2277.55,drip
tomato,summer,sandy,4.39,2402.42,drip
maize,summer,red,1.98,1689.8,surface
maize,kharif,sandy,0.96,862.0,surface
sugarcane,kharif,red,2.45,3330.66,surface
onion,summer,red,4.42,2358.12,sprinkler
wheat,summer,sandy,3.09,2355.48,surface
sugarcane,summer,red,2.4,3446.99,surface
wheat,summer,black,4.34,4020.59,sprinkler
mango,rabi,black,3.51,1137.6,drip
citrus,kharif,clayey,0.94,494.18,drip
wheat,rabi,clayey,4.18,3527.33,sprinkler
sugarcane,rabi,sandy,1.96,3174.15,surface
maize,kharif,red,3.97,3236.06,sprinkler
groundnut,rabi,loamy,4.3,3439.4,surface
groundnut,summer,red,3.83,3041.58,surface
sugarcane,rabi,sandy,4.61,5782.14,surface
tomato,summer,black,3.38,2236.13,sprinkler
sugarcane,summer,black,2.08,3501.76,surface
groundnut,kharif,clayey,0.57,349.49,drip
maize,summer,red,1.3,1089.28,surface
rice,kharif,sandy,3.7,5176.5,surface
tomato,kharif,clayey,2.9,1668.14,sprinkler
tomato,summer,clayey,3.26,2324.31,drip
groundnut,rabi,sandy,1.61,971.48,drip
maize,rabi,loamy,4.25,4057.24,sprinkler
sugarcane,rabi,loamy,1.15,1584.79,drip
wheat,rabi,black,3.0,3238.24,sprinkler
sugarcane,kharif,red,3.11,4902.46,surface
tomato,summer,clayey,4.12,2238.21,sprinkler
groundnut,kharif,clayey,2.93,1704.0,surface
cotton,summer,loamy,4.08,4208.86,surface
rice,summer,clayey,0.97,1315.92,surface
sugarcane,summer,red,4.19,5591.04,surface
maize,rabi,red,2.47,2047.98,sprinkler
rice,kharif,red,2.52,3205.78,surface
groundnut,summer,loamy,0.79,520.8,surface
maize,summer,sandy,3.71,2957.09,surface
cotton,kharif,black,1.89,2039.09,surface
maize,kharif,red,4.09,3282.41,surface
tomato,summer,red,1.92,924.72,drip
citrus,summer,clayey,3.14,1568.22,drip
rice,summer,black,3.79,4971.07,surface
sugarcane,kharif,sandy,3.42,5119.69,drip
rice,kharif,sandy,4.76,5881.08,surface
tomato,rabi,black,1.12,629.88,sprinkler
rice,rabi,loamy,3.68,5085.58,surface
onion,kharif,clayey,2.31,1028.71,drip
rice,rabi,sandy,2.86,2773.61,surface
citrus,summer,sandy,3.57,1346.56,drip
wheat,kharif,clayey,2.23,1627.8,surface
citrus,kharif,loamy,1.35,636.87,drip
cotton,rabi,sandy,4.42,5149.5,drip
citrus,summer,loamy,4.51,2197.03,drip
cotton,rabi,sandy,3.3,3874.59,drip
rice,rabi,sandy,2.07,2166.46,surface
mango,kharif,black,1.37,472.43,drip
citrus,rabi,red,4.24,2124.8,drip
rice,rabi,loamy,2.15,2311.11,surface
onion,rabi,sandy,2.11,1230.81,drip
onion,summer,sandy,3.49,1619.75,drip
mango,summer,loamy,1.77,604.77,drip
sugarcane,summer,black,2.32,3308.88,surface
onion,rabi,sandy,1.95,968.8,drip
tomato,rabi,clayey,3.97,2571.51,sprinkler
mango,kharif,sandy,1.88,778.31,drip
citrus,summer,clayey,3.83,1747.14,drip
wheat,rabi,loamy,2.08,1900.28,sprinkler
tomato,summer,clayey,3.57,1751.92,drip
sugarcane,rabi,loamy,4.52,7356.06,drip
rice,rabi,loamy,3.07,3850.54,surface
wheat,kharif,sandy,4.66,3363.15,sprinkler
sugarcane,kharif,black,4.22,6005.36,surface
tomato,kharif,loamy,3.19,2007.22,drip
maize,summer,red,3.7,3436.07,surface
maize,summer,clayey,2.34,1505.26,sprinkler
tomato,rabi,loamy,4.18,2496.18,sprinkler
citrus,summer,black,0.69,343.68,drip
cotton,kharif,sandy,1.02,1184.1,drip
onion,kharif,red,1.97,1159.74,drip
maize,rabi,red,1.79,1635.64,surface
maize,kharif,black,4.2,3876.13,sprinkler
rice,kharif,loamy,2.83,2765.29,surface
onion,kharif,loamy,0.67,320.0,drip
rice,kharif,black,3.27,3826.86,surface
cotton,summer,sandy,3.48,3485.04,surface
sugarcane,summer,clayey,0.7,845.97,drip
cotton,rabi,loamy,2.08,1830.94,surface
wheat,rabi,loamy,4.76,4293.59,sprinkler
sugarcane,summer,loamy,2.01,3281.74,drip
wheat,kharif,loamy,3.21,2643.79,sprinkler
cotton,summer,clayey,0.76,816.17,drip
tomato,summer,loamy,3.76,2095.06,drip
wheat,kharif,loamy,0.53,382.25,surface
wheat,summer,sandy,4.36,4335.51,sprinkler
wheat,kharif,black,4.72,4494.03,surface
maize,rabi,loamy,3.57,2984.64,surface
groundnut,rabi,loamy,2.54,2047.86,surface
sugarcane,rabi,loamy,4.83,6921.73,drip
maize,rabi,sandy,2.44,1795.73,sprinkler
wheat,rabi,red,4.33,4656.9,sprinkler
cotton,kharif,black,2.4,2321.02,surface
onion,rabi,black,2.14,995.53,sprinkler
tomato,summer,red,1.43,760.86,drip
sugarcane,summer,red,2.14,3162.97,drip
tomato,summer,clayey,1.46,750.32,sprinkler
rice,rabi,red,2.35,2480.93,surface
groundnut,summer,black,4.72,3213.85,drip
onion,summer,loamy,2.24,1194.81,drip
maize,summer,black,3.09,2769.47,sprinkler
cotton,rabi,black,1.61,1763.57,surface
onion,summer,red,2.89,1519.03,sprinkler
wheat,kharif,sandy,0.6,630.76,surface
wheat,kharif,clayey,4.69,3979.05,sprinkler
cotton,rabi,sandy,2.13,2478.68,drip
citrus,rabi,clayey,3.67,1512.6,drip
rice,kharif,loamy,2.37,2880.75,surface
citrus,kharif,red,2.99,1329.12,drip
maize,kharif,loamy,4.59,3080.17,sprinkler
wheat,rabi,black,2.21,1726.82,surface
wheat,rabi,red,3.07,2704.79,sprinkler
wheat,summer,red,2.05,1726.76,sprinkler
rice,kharif,loamy,1.11,1225.5,surface
tomato,kharif,loamy,4.83,2690.15,drip
rice,summer,black,0.57,790.99,surface
tomato,rabi,clayey,1.36,744.27,drip
mango,rabi,clayey,4.58,1503.71,drip
sugarcane,rabi,black,4.98,6984.5,surface
maize,summer,sandy,2.0,1300.08,surface
citrus,summer,red,0.59,252.83,drip
onion,rabi,sandy,3.63,1648.23,sprinkler
tomato,rabi,red,4.34,2899.94,sprinkler
tomato,kharif,clayey,3.74,2291.02,sprinkler
onion,rabi,sandy,4.61,2691.11,sprinkler
rice,summer,sandy,0.6,613.02,surface
rice,kharif,loamy,2.18,2253.95,surface
sugarcane,kharif,sandy,3.75,6157.13,drip
groundnut,kharif,red,3.32,2669.21,drip
onion,summer,sandy,3.26,1340.62,sprinkler
cotton,summer,sandy,1.34,1456.98,drip
rice,rabi,loamy,1.45,1891.02,surface
tomato,summer,red,1.37,926.41,sprinkler
onion,rabi,clayey,3.79,1964.59,drip
wheat,kharif,red,0.53,415.15,sprinkler
sugarcane,kharif,red,3.09,4059.05,surface
rice,kharif,loamy,4.32,5715.44,surface
sugarcane,rabi,red,1.84,2663.16,drip
maize,rabi,clayey,4.21,3685.19,sprinkler
mango,summer,clayey,1.77,612.07,drip
wheat,rabi,clayey,4.56,3382.36,surface
tomato,summer,black,0.55,362.24,drip
rice,summer,clayey,3.64,4552.34,surface
rice,summer,clayey,2.53,3330.12,surface
onion,rabi,clayey,3.94,1823.02,sprinkler
sugarcane,summer,loamy,0.69,974.1,drip
onion,rabi,black,2.59,1501.73,sprinkler
onion,kharif,black,2.39,967.7,drip
cotton,rabi,loamy,2.3,1852.83,surface
cotton,summer,loamy,1.48,1193.7,drip
onion,rabi,clayey,1.39,694.26,drip
cotton,summer,clayey,1.52,1511.81,surface
onion,rabi,loamy,2.69,1434.19,sprinkler
groundnut,kharif,clayey,3.68,2687.1,drip
cotton,summer,black,4.12,3982.14,drip
wheat,summer,loamy,2.02,1680.28,sprinkler
citrus,summer,sandy,3.2,1457.07,drip
groundnut,summer,loamy,2.16,1796.52,surface
rice,rabi,clayey,2.38,2524.08,surface
groundnut,rabi,black,4.04,2890.21,drip
citrus,summer,loamy,4.56,2434.06,drip
citrus,summer,red,3.24,1640.73,drip
sugarcane,summer,black,4.51,6260.22,surface
rice,kharif,red,1.95,2367.36,surface
onion,kharif,black,2.25,986.93,sprinkler
maize,rabi,sandy,2.63,1871.16,sprinkler
wheat,rabi,red,2.67,2062.85,sprinkler
maize,rabi,clayey,3.22,2613.41,surface
sugarcane,rabi,sandy,3.81,5017.64,drip
mango,kharif,black,2.4,1082.34,drip
wheat,rabi,loamy,1.15,838.47,sprinkler
tomato,rabi,black,3.99,2866.08,drip
onion,summer,loamy,3.17,1748.86,sprinkler
rice,rabi,clayey,1.39,1739.09,surface
maize,summer,loamy,1.95,1258.58,sprinkler
wheat,summer,black,2.16,1800.35,sprinkler
tomato,summer,black,3.41,1960.51,drip
